日期,sales_for_trend,产品分类
2021-03-11 00:00:00,4625.5,首选咖啡 (Preferential Coffee) 
2021-03-12 00:00:00,838.5,单原咖啡 (Single Origin Coffee) 
2021-03-12 00:00:00,270,卡布奇诺 (Cappuccino) 
2021-03-12 00:00:00,216,拿铁咖啡 (Latte) 
2021-03-12 00:00:00,2209.75,浓缩咖啡 (Espresso) 
2021-03-12 00:00:00,181.5,混合咖啡 (Blend Coffee) 
2021-03-12 00:00:00,879.75,美式咖啡 (Americano) 
2021-03-12 00:00:00,131.39999675750732,超滤咖啡 (Filtered Coffee) 
2021-03-12 00:00:00,5264.75,首选咖啡 (Preferential Coffee) 
2021-03-13 00:00:00,247,冰咖啡 (Iced Coffee) 
2021-03-13 00:00:00,644.25,单原咖啡 (Single Origin Coffee) 
2021-03-13 00:00:00,174,卡布奇诺 (Cappuccino) 
2021-03-13 00:00:00,2464.25,浓缩咖啡 (Espresso) 
2021-03-13 00:00:00,214.5,混合咖啡 (Blend Coffee) 
2021-03-13 00:00:00,315.5,美式咖啡 (Americano) 
2021-03-13 00:00:00,6103.25,首选咖啡 (Preferential Coffee) 
2021-03-14 00:00:00,330,冰咖啡 (Iced Coffee) 
2021-03-14 00:00:00,476,单原咖啡 (Single Origin Coffee) 
2021-03-14 00:00:00,144,卡布奇诺 (Cappuccino) 
2021-03-14 00:00:00,399.75000762939453,拿铁咖啡 (Latte) 
2021-03-14 00:00:00,3222.75,浓缩咖啡 (Espresso) 
2021-03-14 00:00:00,220,混合咖啡 (Blend Coffee) 
2021-03-14 00:00:00,551.5,美式咖啡 (Americano) 
2021-03-14 00:00:00,43.79999923706055,超滤咖啡 (Filtered Coffee) 
2021-03-14 00:00:00,4126.75,首选咖啡 (Preferential Coffee) 
2021-03-15 00:00:00,78,冰咖啡 (Iced Coffee) 
2021-03-15 00:00:00,907.25,单原咖啡 (Single Origin Coffee) 
2021-03-15 00:00:00,196,卡布奇诺 (Cappuccino) 
2021-03-15 00:00:00,167.85000610351562,拿铁咖啡 (Latte) 
2021-03-15 00:00:00,1805.75,浓缩咖啡 (Espresso) 
2021-03-15 00:00:00,198,混合咖啡 (Blend Coffee) 
2021-03-15 00:00:00,577,美式咖啡 (Americano) 
2021-03-15 00:00:00,5144.25,首选咖啡 (Preferential Coffee) 
2021-03-16 00:00:00,384,冰咖啡 (Iced Coffee) 
2021-03-16 00:00:00,927.25,单原咖啡 (Single Origin Coffee) 
2021-03-16 00:00:00,270,卡布奇诺 (Cappuccino) 
2021-03-16 00:00:00,503.54998779296875,拿铁咖啡 (Latte) 
2021-03-16 00:00:00,1146.75,浓缩咖啡 (Espresso) 
2021-03-16 00:00:00,137.5,混合咖啡 (Blend Coffee) 
2021-03-16 00:00:00,844.25,美式咖啡 (Americano) 
2021-03-16 00:00:00,6796.25,首选咖啡 (Preferential Coffee) 
2021-03-17 00:00:00,781.5,单原咖啡 (Single Origin Coffee) 
2021-03-17 00:00:00,252,卡布奇诺 (Cappuccino) 
2021-03-17 00:00:00,654.9499969482422,拿铁咖啡 (Latte) 
2021-03-17 00:00:00,1915,浓缩咖啡 (Espresso) 
2021-03-17 00:00:00,132,混合咖啡 (Blend Coffee) 
2021-03-17 00:00:00,612.75,美式咖啡 (Americano) 
2021-03-17 00:00:00,47.70000076293945,超滤咖啡 (Filtered Coffee) 
2021-03-17 00:00:00,4782,首选咖啡 (Preferential Coffee) 
2021-03-18 00:00:00,175,冰咖啡 (Iced Coffee) 
2021-03-18 00:00:00,748.75,单原咖啡 (Single Origin Coffee) 
2021-03-18 00:00:00,306,卡布奇诺 (Cappuccino) 
2021-03-18 00:00:00,2212,浓缩咖啡 (Espresso) 
2021-03-18 00:00:00,264,混合咖啡 (Blend Coffee) 
2021-03-18 00:00:00,470.5,美式咖啡 (Americano) 
2021-03-18 00:00:00,67.64999961853027,超滤咖啡 (Filtered Coffee) 
2021-03-18 00:00:00,3168.75,首选咖啡 (Preferential Coffee) 
2021-03-19 00:00:00,1460,单原咖啡 (Single Origin Coffee) 
2021-03-19 00:00:00,222,卡布奇诺 (Cappuccino) 
2021-03-19 00:00:00,58,拿铁咖啡 (Latte) 
2021-03-19 00:00:00,1246.75,浓缩咖啡 (Espresso) 
2021-03-19 00:00:00,115.5,混合咖啡 (Blend Coffee) 
2021-03-19 00:00:00,671.5,美式咖啡 (Americano) 
2021-03-19 00:00:00,4846.5,首选咖啡 (Preferential Coffee) 
